provID	unik_station_beteckning	Undersökning	Stationsbeteckning	djup	Latitud	Longitud	Datum	artal	prov_nr	S	B	B_utan	N	bqi
724	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2004-05-24	2004	1	4	3,38740010908805	3,38740010908805	181	4,133694
725	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1989-05-01	1989	2	4			163	6,582304
726	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1989-05-01	1989	1	4			160	6,210436
727	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2005-06-16	2005	3	2	16,7267999649048	16,7267999649048	140	2,764013
728	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2005-06-16	2005	2	4	17,378799116239	17,378799116239	155	4,171977
729	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2005-06-16	2005	1	2	15,8261001110077	15,8261001110077	99	2,959069
730	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2006-05-15	2006	2	5	25,1135983723216	25,1135983723216	217	4,714475
731	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2004-05-24	2004	2	5	17,1019009836018	17,1019009836018	144	4,125768
732	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1989-05-01	1989	5	4			197	7,021524
733	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2003-05-29	2003	2	2	7,39969966933131	7,39969966933131	51	2,854208
734	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2000-10-03	2000	3	3			70	3,291261
735	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2000-10-03	2000	2	5			106	4,171171
736	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2000-10-03	2000	1	5			114	4,283102
737	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2006-05-15	2006	3	4	23,5937991458923	23,5937991458923	191	4,047607
738	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2004-05-24	2004	3	4	14,0460003176704	14,0460003176704	117	4,211008
739	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1989-05-01	1989	4	6			180	7,640411
740	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2003-05-29	2003	1	2	9,05089974403381	9,05089974403381	64	2,835068
741	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1990-05-01	1990	1	4			76	3,440577
742	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1990-05-01	1990	2	4			79	3,291722
743	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1990-05-01	1990	3	5			93	3,954892
744	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1991-05-01	1991	1	2			85	2,256206
745	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1991-05-01	1991	2	2			60	2,206341
746	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1991-05-01	1991	3	2			100	2,274714
747	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1994-04-01	1994	1	2			74	2,476199
748	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1994-04-01	1994	2	2			92	2,557763
749	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1994-04-01	1994	3	2			85	2,465127
750	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1997-03-11	1997	1	2			86	2,359391
751	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1997-03-11	1997	2	3			81	3,118811
752	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1997-03-11	1997	3	2			76	2,650673
753	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	1989-05-01	1989	3	4			200	6,099688
754	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2006-05-15	2006	1	5	25,764501708094	25,764501708094	211	4,593254
755	231	Samordnad recipientkontroll i E-län	Bf 08	20	58,6406066666667	16,3863416666667	2003-05-29	2003	3	2	8,07700029015541	8,07700029015541	54	2,83038
756	232	Samordnad recipientkontroll i E-län	Bf 29	40	58,4480018615723	16,568000793457	2006-05-17	2006	2	0			0	0
757	232	Samordnad recipientkontroll i E-län	Bf 29	40	58,4480018615723	16,568000793457	1989-05-01	1989	3	0			0	0
758	232	Samordnad recipientkontroll i E-län	Bf 29	40	58,4480018615723	16,568000793457	1989-05-01	1989	2	0			0	0
759	232	Samordnad recipientkontroll i E-län	Bf 29	40	58,4480018615723	16,568000793457	1989-05-01	1989	1	1			3	0,5733905
760	232	Samordnad recipientkontroll i E-län	Bf 29	40	58,4480018615723	16,568000793457	2003-05-30	2003	3	2	2,34999996609986E-02	2,34999996609986E-02	3	1,491004
