Datatyp;Kontrollstatus;Kontrollerad av;År;Stationsnamn;Rapporterat stationsnamn;ID Provplats;ID Övervakningsstation;Projekt;Beställare;Besöks-ID;Provtagningsdatum;Shark prov id MD5;Provtagningsdatum (start);Provtagningstid (start);Provtagningsdatum (slut);Provtagningstid (slut);Provets latitud (DM);Provets longitud (DM);Provets latitud (DD);Provets longitud (DD);Vattendjup vid stationen;Besökskommentar;Rapporterat id;Provets övre djup;Provets nedre djup;Provtagningslaboratorium;Provkommentar;Vetenskapligt namn;Art-flagga;Dyntaxa-ID;Parameter;Mätvärde;Mätenhet;Q-flagga;Värde beräknat av datavärd;Kön (kod);Utvecklingsstadium (kod);Trofityp (kod);Storleksklass;Metoddokument;Metodreferens (kod);Variabel-kommentar;Analyslaboratorium;Vattenkategori;Vattendistrikt;Vattenförekomst;Vattenförekomst-kod;Typområde;Havsbassäng;HELCOM/OSPAR-område;Ekonomisk zon;Län;Kommun;Stationid VISS;Rike;Stam;Klass;Ordning;Familj;Släkte;Art;Föräldrataxa;Rödlista kategori;Rapporterat vetenskapligt namn;Rapporterad parameter;Rapporterat värde;Rapporterad enhet;Leveranspaket;Filnamn
Zoobenthos;Klar;Leverantör;2019;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2019-05-17;2c3c2017e9e8d0ec80f0ee5e6ec3984e;2019-05-17;;;;59 24.51;19 57.10;59,40848;19,95167;42;Ursprunglig koordinat 59245094 19571021 WGS 84;1;42;42;Stockholms universitet;Mytilus på sten.;Saduria entomon;;101726;Abundance;8,57633;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2019_DEEP_HAV;SHARK_Zoobenthos_2019_DEEP_HAV_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2019;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2019-05-12;7aac0bec9c8c6a31e1c12fec03116dbb;2019-05-12;;;;55 44.99;15 43.54;55,74985;15,72568;50;Ursprunglig koordinat 55449909 15435380 WGS 84;1;51,5;51,5;Stockholms universitet;Nemertin med rött huvud.;Saduria entomon;;101726;Abundance;34,3053;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2019_DEEP_HAV;SHARK_Zoobenthos_2019_DEEP_HAV_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2018;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2018-05-14;e14218cb569af9233276264adad29317;2018-05-14;;;;55 44.99;15 43.52;55,74990;15,72530;50;Ursprunglig koordinat 55449909 15435380 WGS 84 / GPS 041.;1;51,5;51,5;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,57633;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2018_DEEP;SHARK_Zoobenthos_2018_DEEP_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2017;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2017-05-20;689a77ccb8977d782d9650eb7df808ef;2017-05-20;;;;59 24.51;19 57.10;59,40847;19,95165;42;Ursprunglig koordinat 59245094 19571021 WGS 84;1;42;42;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,57633;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2017_DEEP;SHARK_Zoobenthos_2017_DEEP_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2016;24005;24005;;;PROJ Kartering Hoburgs bank;Havs- och vattenmyndigheten;;2016-09-14;a24a2e775ea22ab35b30c13221965fe1;2016-09-14;16:15;;;56 35.41;18 23.74;56,59017;18,39571;25,5;;;25,5;25,5;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;;Saduria entomon;;101726;Abundance;23,4375;ind/m2;;Y;;;;;;;;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_SLUA;SHARK_Zoobenthos_2016_SLUA_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2016;24008;24008;;;PROJ Kartering Hoburgs bank;Havs- och vattenmyndigheten;;2016-09-14;7b89ddbb18c77b51615bc515190a3cc0;2016-09-14;15:30;;;56 34.01;18 18.61;56,56679;18,31011;28;;;28;28;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;;Saduria entomon;;101726;Abundance;7,8125;ind/m2;;Y;;;;;;;;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_SLUA;SHARK_Zoobenthos_2016_SLUA_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2016;34020;34020;;;PROJ Kartering Hoburgs bank;Havs- och vattenmyndigheten;;2016-09-11;355144424c43078b8f67ed0abf101076;2016-09-11;12:05;;;56 45.77;18 41.22;56,76284;18,68698;32;;;32;32;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;;Saduria entomon;;101726;Abundance;31,25;ind/m2;;Y;;;;;;;;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_SLUA;SHARK_Zoobenthos_2016_SLUA_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2016;33002;33002;;;PROJ Kartering Hoburgs bank;Havs- och vattenmyndigheten;;2016-09-10;fa4e78e4a810d04b9130f65dddf0db9f;2016-09-10;12:05;;;56 47.29;18 40.10;56,78818;18,66832;32;;;32;32;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;;Saduria entomon;;101726;Abundance;15,625;ind/m2;;Y;;;;;;;;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_SLUA;SHARK_Zoobenthos_2016_SLUA_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2016;22018;22018;;;PROJ Kartering Hoburgs bank;Havs- och vattenmyndigheten;;2016-09-09;cbc761e493e475b423a03db2e3483a11;2016-09-09;13:30;;;56 40.67;18 23.46;56,67786;18,39094;51;;;51;51;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;;Saduria entomon;;101726;Abundance;54,6875;ind/m2;;Y;;;;;;;;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_SLUA;SHARK_Zoobenthos_2016_SLUA_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2016;22017;22017;;;PROJ Kartering Hoburgs bank;Havs- och vattenmyndigheten;;2016-09-08;720f591f0bccf3e5727b042f4380a7ac;2016-09-08;18:30;;;56 41.17;18 24.05;56,68608;18,40085;35;;;35;35;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;;Saduria entomon;;101726;Abundance;85,9375;ind/m2;;Y;;;;;;;;Sveriges lantbruksuniversitet Institutionen för akvatiska resurser;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_SLUA;SHARK_Zoobenthos_2016_SLUA_version_2020-10-27.zip
