"weight_g","length_cm","lat","lon","year","quarter","ices_rect","SubDiv","sub_area","depth_rast","Fulton_K","year_f"
100,22,55.6708,14.488,1991,4,"40G4","25","4",46,0.939143501126972,"1991"
115,23,55.6708,14.488,1991,4,"40G4","25","4",46,0.945179584120983,"1991"
130,25,55.6708,14.488,1991,4,"40G4","25","4",46,0.832,"1991"
160,26,55.6708,14.488,1991,4,"40G4","25","4",46,0.910332271279017,"1991"
170,27,55.6708,14.488,1991,4,"40G4","25","4",46,0.863689478229945,"1991"
210,28,55.6708,14.488,1991,4,"40G4","25","4",46,0.956632653061224,"1991"
230,29,55.6708,14.488,1991,4,"40G4","25","4",46,0.943048095452868,"1991"
280,30,55.6708,14.488,1991,4,"40G4","25","4",46,1.03703703703704,"1991"
270,31,55.6708,14.488,1991,4,"40G4","25","4",46,0.906313987445873,"1991"
300,31,55.6708,14.488,1991,4,"40G4","25","4",46,1.00701554160653,"1991"
350,33,55.6708,14.488,1991,4,"40G4","25","4",46,0.973926593761305,"1991"
400,35,55.6708,14.488,1991,4,"40G4","25","4",46,0.932944606413994,"1991"
470,38,55.6708,14.488,1991,4,"40G4","25","4",46,0.856538854060359,"1991"
580,40,55.6708,14.488,1991,4,"40G4","25","4",46,0.90625,"1991"
810,43,55.6708,14.488,1991,4,"40G4","25","4",46,1.01877822078559,"1991"
820,44,55.6708,14.488,1991,4,"40G4","25","4",46,0.962622088655146,"1991"
1000,48,55.6708,14.488,1991,4,"40G4","25","4",46,0.904224537037037,"1991"
620,40,55.574,14.7052,1991,4,"40G4","25","4",77,0.96875,"1991"
520,39,57.496,17.5455,1991,4,"43G7","27","4",65,0.876616261231646,"1991"
590,39,57.496,17.5455,1991,4,"43G7","27","4",65,0.994622296397444,"1991"
750,42,57.496,17.5455,1991,4,"43G7","27","4",65,1.01230968577907,"1991"
660,42,57.496,17.5455,1991,4,"43G7","27","4",65,0.890832523485585,"1991"
930,47,57.496,17.5455,1991,4,"43G7","27","4",65,0.895755275805939,"1991"
1100,50,57.496,17.5455,1991,4,"43G7","27","4",65,0.88,"1991"
1300,51,57.496,17.5455,1991,4,"43G7","27","4",65,0.980015227928926,"1991"
1900,57,57.496,17.5455,1991,4,"43G7","27","4",65,1.02595670462706,"1991"
1800,61,57.496,17.5455,1991,4,"43G7","27","4",65,0.793017917799287,"1991"
820,40,57.8185,18.1203,1991,4,"44G8","28","5",108,1.28125,"1991"
650,41,57.8185,18.1203,1991,4,"44G8","28","5",108,0.94310877671537,"1991"
670,44,57.8185,18.1203,1991,4,"44G8","28","5",108,0.786532682193839,"1991"
720,44,57.8185,18.1203,1991,4,"44G8","28","5",108,0.845229151014275,"1991"
860,48,57.8185,18.1203,1991,4,"44G8","28","5",108,0.777633101851852,"1991"
1100,48,57.8185,18.1203,1991,4,"44G8","28","5",108,0.994646990740741,"1991"
1050,49,57.8185,18.1203,1991,4,"44G8","28","5",108,0.892485273992979,"1991"
1200,51,57.8185,18.1203,1991,4,"44G8","28","5",108,0.904629441165163,"1991"
1100,52,57.8185,18.1203,1991,4,"44G8","28","5",108,0.782316795630405,"1991"
1500,55,57.8185,18.1203,1991,4,"44G8","28","5",108,0.901577761081893,"1991"
1300,59,57.8185,18.1203,1991,4,"44G8","28","5",108,0.632976107586462,"1991"
1900,61,57.8185,18.1203,1991,4,"44G8","28","5",108,0.837074468788137,"1991"
2200,61,57.8185,18.1203,1991,4,"44G8","28","5",108,0.969244121754684,"1991"
1700,62,57.8185,18.1203,1991,4,"44G8","28","5",108,0.713302675304622,"1991"
2800,66,57.8185,18.1203,1991,4,"44G8","28","5",108,0.973926593761305,"1991"
120,23,57.8703,19.406,1991,4,"44G9","28","5",46,0.986274348647982,"1991"
160,26,57.8703,19.406,1991,4,"44G9","28","5",46,0.910332271279017,"1991"
200,27,57.8703,19.406,1991,4,"44G9","28","5",46,1.01610526850582,"1991"
200,28,57.8703,19.406,1991,4,"44G9","28","5",46,0.911078717201166,"1991"
260,29,57.8703,19.406,1991,4,"44G9","28","5",46,1.06605436877281,"1991"
250,30,57.8703,19.406,1991,4,"44G9","28","5",46,0.925925925925926,"1991"
180,25,57.8896,19.5915,1991,4,"44G9","28","5",89,1.152,"1991"
200,28,57.8896,19.5915,1991,4,"44G9","28","5",89,0.911078717201166,"1991"
280,30,57.8896,19.5915,1991,4,"44G9","28","5",89,1.03703703703704,"1991"
300,31,57.8896,19.5915,1991,4,"44G9","28","5",89,1.00701554160653,"1991"
500,39,57.8896,19.5915,1991,4,"44G9","28","5",89,0.842900251184275,"1991"
740,41,57.8896,19.5915,1991,4,"44G9","28","5",89,1.07369306887596,"1991"
880,44,57.8896,19.5915,1991,4,"44G9","28","5",89,1.03305785123967,"1991"
1100,49,57.8896,19.5915,1991,4,"44G9","28","5",89,0.934984572754549,"1991"
1300,52,57.8896,19.5915,1991,4,"44G9","28","5",89,0.924556213017751,"1991"
1600,53,57.8896,19.5915,1991,4,"44G9","28","5",89,1.07471268228135,"1991"
1050,47,57.5,17.0417,1991,4,"44G7","27","4",91,1.01133660171638,"1991"
1100,48,57.5,17.0417,1991,4,"44G7","27","4",91,0.994646990740741,"1991"
940,48,57.5,17.0417,1991,4,"44G7","27","4",91,0.849971064814815,"1991"
