"","year","month","day","lon","lat","species_group","depth","prov_nr","provID","sub_area","SubDiv","taxa","sample_id","depth_scaled","year_f","biomass","abundance","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"1",1983,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3605,4,27,"Monoporeia affinis","3605_1983",-0.5849407155949,"1983",0.05,270,0.05,50000,50
"2",1984,4,16,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3606,4,27,"Monoporeia affinis","3606_1984",-0.5849407155949,"1984",4.51999992,830,4.51999992,4519999.92,4519.99992
"3",1984,4,16,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3607,4,27,"Monoporeia affinis","3607_1984",-0.5849407155949,"1984",6.35999995,1000,6.35999995,6359999.95,6359.99995
"4",1984,4,16,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3608,4,27,"Monoporeia affinis","3608_1984",-0.5849407155949,"1984",2.28,420,2.28,2280000,2280
"5",1983,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3609,4,27,"Gammarus","3609_1983",-0.5849407155949,"1983",0.1,310,0.1,1e+05,100
"6",1983,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3610,4,27,"Gammarus","3610_1983",-0.5849407155949,"1983",0.1,460,0.1,1e+05,100
"7",1984,4,16,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3611,4,27,"Monoporeia affinis","3611_1984",-0.5849407155949,"1984",3.81999999,570,3.81999999,3819999.99,3819.99999
"8",1983,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3612,4,27,"Gammarus","3612_1983",-0.5849407155949,"1983",0.1,310,0.1,1e+05,100
"9",1985,5,23,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3613,4,27,"Gammarus","3613_1985",-0.5849407155949,"1985",3.76000002,450,3.76000002,3760000.02,3760.00002
"10",1982,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3615,4,27,"Monoporeia affinis","3615_1982",-0.5849407155949,"1982",0.05,470,0.05,50000,50
"11",1982,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3616,4,27,"Gammarus","3616_1982",-0.5849407155949,"1982",0.1,1090,0.1,1e+05,100
"12",1982,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3617,4,27,"Monoporeia affinis","3617_1982",-0.5849407155949,"1982",0.05,880,0.05,50000,50
"13",1982,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3618,4,27,"Monoporeia affinis","3618_1982",-0.5849407155949,"1982",0.05,870,0.05,50000,50
"14",1982,4,21,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3619,4,27,"Monoporeia affinis","3619_1982",-0.5849407155949,"1982",0.05,790,0.05,50000,50
"15",1981,5,11,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3620,4,27,"Gammarus","3620_1981",-0.5849407155949,"1981",0.1,1080,0.1,1e+05,100
"16",1981,5,11,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3621,4,27,"Gammarus","3621_1981",-0.5849407155949,"1981",0.1,500,0.1,1e+05,100
"17",1981,5,11,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3622,4,27,"Monoporeia affinis","3622_1981",-0.5849407155949,"1981",0.05,210,0.05,50000,50
"18",1981,5,11,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3623,4,27,"Monoporeia affinis","3623_1981",-0.5849407155949,"1981",0.05,900,0.05,50000,50
"19",1983,4,19,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3624,4,27,"Monoporeia affinis","3624_1983",-0.5849407155949,"1983",0.05,230,0.05,50000,50
"20",1986,5,20,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3625,4,27,"Monoporeia affinis","3625_1986",-0.5849407155949,"1986",13.2099998,1530,13.2099998,13209999.8,13209.9998
"21",1989,5,2,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3626,4,27,"Monoporeia affinis","3626_1989",-0.5849407155949,"1989",2.5999999,650,2.5999999,2599999.9,2599.9999
"22",1988,4,20,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3627,4,27,"Monoporeia affinis","3627_1988",-0.5849407155949,"1988",7.5999999,1120,7.5999999,7599999.9,7599.9999
"23",1988,4,20,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3628,4,27,"Monoporeia affinis","3628_1988",-0.5849407155949,"1988",12.07999945,1710,12.07999945,12079999.45,12079.99945
"24",1988,4,20,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3629,4,27,"Monoporeia affinis","3629_1988",-0.5849407155949,"1988",11.5199995,1340,11.5199995,11519999.5,11519.9995
"25",1988,4,20,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3630,4,27,"Monoporeia affinis","3630_1988",-0.5849407155949,"1988",7.68000007,1160,7.68000007,7680000.07,7680.00007
"26",1988,4,20,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3631,4,27,"Monoporeia affinis","3631_1988",-0.5849407155949,"1988",4.3900001,750,4.3900001,4390000.1,4390.0001
"27",1987,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3632,4,27,"Monoporeia affinis","3632_1987",-0.5849407155949,"1987",11.95000052,1620,11.95000052,11950000.52,11950.00052
"28",1987,4,28,16.6849994659424,57.4099998474121,"Amphipoda",14,4,3633,4,27,"Monoporeia affinis","3633_1987",-0.5849407155949,"1987",10.08999944,1500,10.08999944,10089999.44,10089.99944
"29",1985,5,23,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3634,4,27,"Gammarus","3634_1985",-0.5849407155949,"1985",1.74000002,210,1.74000002,1740000.02,1740.00002
"30",1986,5,20,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3635,4,27,"Monoporeia affinis","3635_1986",-0.5849407155949,"1986",12.82999992,1350,12.82999992,12829999.92,12829.99992
"31",1984,4,16,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3636,4,27,"Monoporeia affinis","3636_1984",-0.5849407155949,"1984",3.1099999,510,3.1099999,3109999.9,3109.9999
"32",1986,5,20,16.6849994659424,57.4099998474121,"Amphipoda",14,3,3637,4,27,"Monoporeia affinis","3637_1986",-0.5849407155949,"1986",14.04999971,1340,14.04999971,14049999.71,14049.99971
"33",1986,5,20,16.6849994659424,57.4099998474121,"Amphipoda",14,2,3638,4,27,"Gammarus","3638_1986",-0.5849407155949,"1986",6.14000008,520,6.14000008,6140000.08,6140.00008
"34",1986,5,20,16.6849994659424,57.4099998474121,"Amphipoda",14,1,3639,4,27,"Monoporeia affinis","3639_1986",-0.5849407155949,"1986",10.42000055,860,10.42000055,10420000.55,10420.00055
"35",1985,5,23,16.6849994659424,57.4099998474121,"Amphipoda",14,5,3640,4,27,"Gammarus","3640_1985",-0.5849407155949,"1985",4.54999999,640,4.54999999,4549999.99,4549.99999
