"","year","month","day","lon","lat","abundance","biomass","species_group","depth","prov_nr","provID","sub_area","taxa","sample_id","depth_scaled","year_f","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"1",1983,4,19,16.6849994659424,57.4099998474121,800,0.05,"Limecola balthica",14,1,3605,27,"Limecola balthica","3605_1983",-0.5849407155949,"1983",0.05,50000,50
"2",1984,4,16,16.6849994659424,57.4099998474121,460,25.36000013,"Limecola balthica",14,3,3606,27,"Limecola balthica","3606_1984",-0.5849407155949,"1984",25.36000013,25360000.13,25360.00013
"3",1984,4,16,16.6849994659424,57.4099998474121,550,52.96999931,"Limecola balthica",14,2,3607,27,"Limecola balthica","3607_1984",-0.5849407155949,"1984",52.96999931,52969999.31,52969.99931
"4",1984,4,16,16.6849994659424,57.4099998474121,540,61.71999931,"Limecola balthica",14,1,3608,27,"Limecola balthica","3608_1984",-0.5849407155949,"1984",61.71999931,61719999.31,61719.99931
"5",1983,4,19,16.6849994659424,57.4099998474121,260,0.05,"Limecola balthica",14,5,3609,27,"Limecola balthica","3609_1983",-0.5849407155949,"1983",0.05,50000,50
"6",1983,4,19,16.6849994659424,57.4099998474121,690,0.05,"Limecola balthica",14,4,3610,27,"Limecola balthica","3610_1983",-0.5849407155949,"1983",0.05,50000,50
"7",1984,4,16,16.6849994659424,57.4099998474121,380,47.55000114,"Limecola balthica",14,4,3611,27,"Limecola balthica","3611_1984",-0.5849407155949,"1984",47.55000114,47550001.14,47550.00114
"8",1983,4,19,16.6849994659424,57.4099998474121,730,0.05,"Limecola balthica",14,2,3612,27,"Limecola balthica","3612_1983",-0.5849407155949,"1983",0.05,50000,50
"9",1985,5,23,16.6849994659424,57.4099998474121,430,59.51000214,"Limecola balthica",14,3,3613,27,"Limecola balthica","3613_1985",-0.5849407155949,"1985",59.51000214,59510002.14,59510.00214
"10",1982,4,21,16.6849994659424,57.4099998474121,370,0.05,"Limecola balthica",14,5,3615,27,"Limecola balthica","3615_1982",-0.5849407155949,"1982",0.05,50000,50
"11",1982,4,21,16.6849994659424,57.4099998474121,380,0.05,"Limecola balthica",14,4,3616,27,"Limecola balthica","3616_1982",-0.5849407155949,"1982",0.05,50000,50
"12",1982,4,21,16.6849994659424,57.4099998474121,560,0.05,"Limecola balthica",14,3,3617,27,"Limecola balthica","3617_1982",-0.5849407155949,"1982",0.05,50000,50
"13",1982,4,21,16.6849994659424,57.4099998474121,110,0.05,"Limecola balthica",14,2,3618,27,"Limecola balthica","3618_1982",-0.5849407155949,"1982",0.05,50000,50
"14",1982,4,21,16.6849994659424,57.4099998474121,340,0.05,"Limecola balthica",14,1,3619,27,"Limecola balthica","3619_1982",-0.5849407155949,"1982",0.05,50000,50
"15",1981,5,11,16.6849994659424,57.4099998474121,120,0.05,"Limecola balthica",14,5,3620,27,"Limecola balthica","3620_1981",-0.5849407155949,"1981",0.05,50000,50
"16",1981,5,11,16.6849994659424,57.4099998474121,10,0.05,"Limecola balthica",14,4,3621,27,"Limecola balthica","3621_1981",-0.5849407155949,"1981",0.05,50000,50
"17",1981,5,11,16.6849994659424,57.4099998474121,30,0.05,"Limecola balthica",14,2,3623,27,"Limecola balthica","3623_1981",-0.5849407155949,"1981",0.05,50000,50
"18",1983,4,19,16.6849994659424,57.4099998474121,670,0.05,"Limecola balthica",14,3,3624,27,"Limecola balthica","3624_1983",-0.5849407155949,"1983",0.05,50000,50
"19",1986,5,20,16.6849994659424,57.4099998474121,340,22.56000042,"Limecola balthica",14,4,3625,27,"Limecola balthica","3625_1986",-0.5849407155949,"1986",22.56000042,22560000.42,22560.00042
"20",1989,5,2,16.6849994659424,57.4099998474121,440,135.5700016,"Limecola balthica",14,1,3626,27,"Limecola balthica","3626_1989",-0.5849407155949,"1989",135.5700016,135570001.6,135570.0016
"21",1988,4,20,16.6849994659424,57.4099998474121,650,180.1099968,"Limecola balthica",14,5,3627,27,"Limecola balthica","3627_1988",-0.5849407155949,"1988",180.1099968,180109996.8,180109.9968
"22",1988,4,20,16.6849994659424,57.4099998474121,620,199.1399956,"Limecola balthica",14,4,3628,27,"Limecola balthica","3628_1988",-0.5849407155949,"1988",199.1399956,199139995.6,199139.9956
"23",1988,4,20,16.6849994659424,57.4099998474121,530,67.82000065,"Limecola balthica",14,3,3629,27,"Limecola balthica","3629_1988",-0.5849407155949,"1988",67.82000065,67820000.65,67820.00065
"24",1988,4,20,16.6849994659424,57.4099998474121,580,164.9200058,"Limecola balthica",14,2,3630,27,"Limecola balthica","3630_1988",-0.5849407155949,"1988",164.9200058,164920005.8,164920.0058
"25",1988,4,20,16.6849994659424,57.4099998474121,510,137.0199966,"Limecola balthica",14,1,3631,27,"Limecola balthica","3631_1988",-0.5849407155949,"1988",137.0199966,137019996.6,137019.9966
"26",1987,4,28,16.6849994659424,57.4099998474121,320,90.34999847,"Limecola balthica",14,5,3632,27,"Limecola balthica","3632_1987",-0.5849407155949,"1987",90.34999847,90349998.47,90349.99847
"27",1987,4,28,16.6849994659424,57.4099998474121,360,106.1800003,"Limecola balthica",14,4,3633,27,"Limecola balthica","3633_1987",-0.5849407155949,"1987",106.1800003,106180000.3,106180.0003
"28",1985,5,23,16.6849994659424,57.4099998474121,270,50.41999817,"Limecola balthica",14,1,3634,27,"Limecola balthica","3634_1985",-0.5849407155949,"1985",50.41999817,50419998.17,50419.99817
"29",1986,5,20,16.6849994659424,57.4099998474121,690,71.72999859,"Limecola balthica",14,5,3635,27,"Limecola balthica","3635_1986",-0.5849407155949,"1986",71.72999859,71729998.59,71729.99859
"30",1984,4,16,16.6849994659424,57.4099998474121,400,38.88000011,"Limecola balthica",14,5,3636,27,"Limecola balthica","3636_1984",-0.5849407155949,"1984",38.88000011,38880000.11,38880.00011
"31",1986,5,20,16.6849994659424,57.4099998474121,330,42.28000164,"Limecola balthica",14,3,3637,27,"Limecola balthica","3637_1986",-0.5849407155949,"1986",42.28000164,42280001.64,42280.00164
"32",1986,5,20,16.6849994659424,57.4099998474121,370,60.71000099,"Limecola balthica",14,2,3638,27,"Limecola balthica","3638_1986",-0.5849407155949,"1986",60.71000099,60710000.99,60710.00099
"33",1986,5,20,16.6849994659424,57.4099998474121,950,214.6100044,"Limecola balthica",14,1,3639,27,"Limecola balthica","3639_1986",-0.5849407155949,"1986",214.6100044,214610004.4,214610.0044
