"","year","month","day","lon","lat","abundance","biomass","species_group","depth","prov_nr","provID","sub_area","SubDiv","taxa","sample_id","depth_scaled","year_f","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"1",1983,4,19,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,1,3605,4,27,"Mytilus edulis","3605_1983",-0.5849407155949,"1983",0.05,50000,50
"2",1984,4,16,16.6849994659424,57.4099998474121,10,0.08,"Mytiloida",14,2,3607,4,27,"Mytilus edulis","3607_1984",-0.5849407155949,"1984",0.08,80000,80
"3",1983,4,19,16.6849994659424,57.4099998474121,130,0.05,"Mytiloida",14,5,3609,4,27,"Mytilus edulis","3609_1983",-0.5849407155949,"1983",0.05,50000,50
"4",1983,4,19,16.6849994659424,57.4099998474121,130,0.05,"Mytiloida",14,4,3610,4,27,"Mytilus edulis","3610_1983",-0.5849407155949,"1983",0.05,50000,50
"5",1983,4,19,16.6849994659424,57.4099998474121,190,0.05,"Mytiloida",14,2,3612,4,27,"Mytilus edulis","3612_1983",-0.5849407155949,"1983",0.05,50000,50
"6",1985,5,23,16.6849994659424,57.4099998474121,110,16.16000056,"Mytiloida",14,3,3613,4,27,"Mytilus edulis","3613_1985",-0.5849407155949,"1985",16.16000056,16160000.56,16160.00056
"7",1998,5,8,16.6849994659424,57.4099998474121,10,0.02,"Mytiloida",14,5,3614,4,27,"Mytilus edulis","3614_1998",-0.5849407155949,"1998",0.02,20000,20
"8",1981,5,11,16.6849994659424,57.4099998474121,240,0.05,"Mytiloida",14,5,3620,4,27,"Mytilus edulis","3620_1981",-0.5849407155949,"1981",0.05,50000,50
"9",1981,5,11,16.6849994659424,57.4099998474121,270,0.05,"Mytiloida",14,4,3621,4,27,"Mytilus edulis","3621_1981",-0.5849407155949,"1981",0.05,50000,50
"10",1987,4,28,16.6849994659424,57.4099998474121,30,3.03000003,"Mytiloida",14,5,3632,4,27,"Mytilus edulis","3632_1987",-0.5849407155949,"1987",3.03000003,3030000.03,3030.00003
"11",1987,4,28,16.6849994659424,57.4099998474121,10,0.39000001,"Mytiloida",14,4,3633,4,27,"Mytilus edulis","3633_1987",-0.5849407155949,"1987",0.39000001,390000.01,390.00001
"12",1986,5,20,16.6849994659424,57.4099998474121,50,5.72000027,"Mytiloida",14,2,3638,4,27,"Mytilus edulis","3638_1986",-0.5849407155949,"1986",5.72000027,5720000.27,5720.00027
"13",1986,5,20,16.6849994659424,57.4099998474121,10,3.42000008,"Mytiloida",14,1,3639,4,27,"Mytilus edulis","3639_1986",-0.5849407155949,"1986",3.42000008,3420000.08,3420.00008
"14",1985,5,23,16.6849994659424,57.4099998474121,100,11.56999946,"Mytiloida",14,5,3640,4,27,"Mytilus edulis","3640_1985",-0.5849407155949,"1985",11.56999946,11569999.46,11569.99946
"15",1980,4,21,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,2,3642,4,27,"Mytilus edulis","3642_1980",-0.5849407155949,"1980",0.05,50000,50
"16",1985,5,23,16.6849994659424,57.4099998474121,110,6.88000023,"Mytiloida",14,2,3643,4,27,"Mytilus edulis","3643_1985",-0.5849407155949,"1985",6.88000023,6880000.23,6880.00023
"17",1981,5,11,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,1,3644,4,27,"Mytilus edulis","3644_1981",-0.5849407155949,"1981",0.05,50000,50
"18",1987,4,28,16.6849994659424,57.4099998474121,20,2.68000007,"Mytiloida",14,2,3645,4,27,"Mytilus edulis","3645_1987",-0.5849407155949,"1987",2.68000007,2680000.07,2680.00007
"19",1999,5,17,16.6849994659424,57.4099998474121,10,0.48999999,"Mytiloida",14,4,3659,4,27,"Mytilus edulis","3659_1999",-0.5849407155949,"1999",0.48999999,489999.99,489.99999
"20",1977,4,28,16.6849994659424,57.4099998474121,20,0.05,"Mytiloida",14,4,3667,4,27,"Mytilus edulis","3667_1977",-0.5849407155949,"1977",0.05,50000,50
"21",1980,4,21,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,3,3669,4,27,"Mytilus edulis","3669_1980",-0.5849407155949,"1980",0.05,50000,50
"22",1979,4,19,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,4,3673,4,27,"Mytilus edulis","3673_1979",-0.5849407155949,"1979",0.05,50000,50
"23",1979,4,19,16.6849994659424,57.4099998474121,50,0.05,"Mytiloida",14,3,3674,4,27,"Mytilus edulis","3674_1979",-0.5849407155949,"1979",0.05,50000,50
"24",1979,4,19,16.6849994659424,57.4099998474121,100,0.05,"Mytiloida",14,2,3675,4,27,"Mytilus edulis","3675_1979",-0.5849407155949,"1979",0.05,50000,50
"25",1999,5,17,16.6849994659424,57.4099998474121,10,4.07999992,"Mytiloida",14,1,3676,4,27,"Mytilus edulis","3676_1999",-0.5849407155949,"1999",4.07999992,4079999.92,4079.99992
"26",1977,4,28,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,5,3677,4,27,"Mytilus edulis","3677_1977",-0.5849407155949,"1977",0.05,50000,50
"27",1977,4,28,16.6849994659424,57.4099998474121,10,0.05,"Mytiloida",14,3,3679,4,27,"Mytilus edulis","3679_1977",-0.5849407155949,"1977",0.05,50000,50
"28",1977,4,28,16.6849994659424,57.4099998474121,20,0.05,"Mytiloida",14,2,3680,4,27,"Mytilus edulis","3680_1977",-0.5849407155949,"1977",0.05,50000,50
"29",1977,4,28,16.6849994659424,57.4099998474121,110,0.05,"Mytiloida",14,1,3681,4,27,"Mytilus edulis","3681_1977",-0.5849407155949,"1977",0.05,50000,50
"30",1979,4,19,16.6849994659424,57.4099998474121,50,0.05,"Mytiloida",14,1,3687,4,27,"Mytilus edulis","3687_1979",-0.5849407155949,"1979",0.05,50000,50
"31",1997,5,5,16.6849994659424,57.4099998474121,10,0.01,"Mytiloida",14,3,3688,4,27,"Mytilus edulis","3688_1997",-0.5849407155949,"1997",0.01,10000,10
"32",1998,5,8,16.6849994659424,57.4099998474121,20,7.63999999,"Mytiloida",14,3,3692,4,27,"Mytilus edulis","3692_1998",-0.5849407155949,"1998",7.63999999,7639999.99,7639.99999
