"","year","month","day","lon","lat","species_group","depth","prov_nr","provID","sub_area","taxa","sample_id","depth_scaled","year_f","biomass","abundance","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"1",1983,4,19,16.6849994659424,57.4099998474121,"Polychaeta",14,1,3605,4,"Bylgides sarsi","3605_1983",-0.5849407155949,"1983",0.15,140,0.15,150000,150
"2",1984,4,16,16.6849994659424,57.4099998474121,"Polychaeta",14,3,3606,4,"Pygospio elegans","3606_1984",-0.5849407155949,"1984",0.02,30,0.02,20000,20
"3",1984,4,16,16.6849994659424,57.4099998474121,"Polychaeta",14,2,3607,4,"Pygospio elegans","3607_1984",-0.5849407155949,"1984",0.07,110,0.07,70000,70
"4",1984,4,16,16.6849994659424,57.4099998474121,"Polychaeta",14,1,3608,4,"Pygospio elegans","3608_1984",-0.5849407155949,"1984",0.02,30,0.02,20000,20
"5",1983,4,19,16.6849994659424,57.4099998474121,"Polychaeta",14,5,3609,4,"Pygospio elegans","3609_1983",-0.5849407155949,"1983",0.05,260,0.05,50000,50
"6",1983,4,19,16.6849994659424,57.4099998474121,"Polychaeta",14,4,3610,4,"Bylgides sarsi","3610_1983",-0.5849407155949,"1983",0.1,140,0.1,1e+05,100
"7",1984,4,16,16.6849994659424,57.4099998474121,"Polychaeta",14,4,3611,4,"Fabricia stellaris","3611_1984",-0.5849407155949,"1984",0.02,40,0.02,20000,20
"8",1983,4,19,16.6849994659424,57.4099998474121,"Polychaeta",14,2,3612,4,"Bylgides sarsi","3612_1983",-0.5849407155949,"1983",0.1,30,0.1,1e+05,100
"9",1985,5,23,16.6849994659424,57.4099998474121,"Polychaeta",14,3,3613,4,"Fabricia stellaris","3613_1985",-0.5849407155949,"1985",0.02,30,0.02,20000,20
"10",1982,4,21,16.6849994659424,57.4099998474121,"Polychaeta",14,5,3615,4,"Pygospio elegans","3615_1982",-0.5849407155949,"1982",0.05,820,0.05,50000,50
"11",1982,4,21,16.6849994659424,57.4099998474121,"Polychaeta",14,4,3616,4,"Bylgides sarsi","3616_1982",-0.5849407155949,"1982",0.05,10,0.05,50000,50
"12",1982,4,21,16.6849994659424,57.4099998474121,"Polychaeta",14,3,3617,4,"Bylgides sarsi","3617_1982",-0.5849407155949,"1982",0.15,340,0.15,150000,150
"13",1982,4,21,16.6849994659424,57.4099998474121,"Polychaeta",14,2,3618,4,"Bylgides sarsi","3618_1982",-0.5849407155949,"1982",0.1,130,0.1,1e+05,100
