"","year","month","day","lon","lat","abundance","biomass","species_group","depth","prov_nr","provID","sub_area","SubDiv","taxa","sample_id","depth_scaled","year_f","biomass_g_m2","biomass_g_km2","biomass_kg_km2"
"1",1984,4,16,16.6849994659424,57.4099998474121,30,0.88,"Saduria entomon",14,1,3608,4,27,"Saduria entomon","3608_1984",-0.5849407155949,"1984",0.88,880000,880
"2",1983,4,19,16.6849994659424,57.4099998474121,20,0.05,"Saduria entomon",14,5,3609,4,27,"Saduria entomon","3609_1983",-0.5849407155949,"1983",0.05,50000,50
"3",1983,4,19,16.6849994659424,57.4099998474121,10,0.05,"Saduria entomon",14,4,3610,4,27,"Saduria entomon","3610_1983",-0.5849407155949,"1983",0.05,50000,50
"4",1983,4,19,16.6849994659424,57.4099998474121,30,0.05,"Saduria entomon",14,2,3612,4,27,"Saduria entomon","3612_1983",-0.5849407155949,"1983",0.05,50000,50
"5",1985,5,23,16.6849994659424,57.4099998474121,10,1.62,"Saduria entomon",14,3,3613,4,27,"Saduria entomon","3613_1985",-0.5849407155949,"1985",1.62,1620000,1620
"6",1982,4,21,16.6849994659424,57.4099998474121,30,0.05,"Saduria entomon",14,4,3616,4,27,"Saduria entomon","3616_1982",-0.5849407155949,"1982",0.05,50000,50
"7",1982,4,21,16.6849994659424,57.4099998474121,10,0.05,"Saduria entomon",14,1,3619,4,27,"Saduria entomon","3619_1982",-0.5849407155949,"1982",0.05,50000,50
"8",1981,5,11,16.6849994659424,57.4099998474121,20,0.05,"Saduria entomon",14,5,3620,4,27,"Saduria entomon","3620_1981",-0.5849407155949,"1981",0.05,50000,50
"9",1981,5,11,16.6849994659424,57.4099998474121,130,0.05,"Saduria entomon",14,2,3623,4,27,"Saduria entomon","3623_1981",-0.5849407155949,"1981",0.05,50000,50
"10",1986,5,20,16.6849994659424,57.4099998474121,10,0.32000002,"Saduria entomon",14,4,3625,4,27,"Saduria entomon","3625_1986",-0.5849407155949,"1986",0.32000002,320000.02,320.00002
"11",1989,5,2,16.6849994659424,57.4099998474121,10,0.02,"Saduria entomon",14,1,3626,4,27,"Saduria entomon","3626_1989",-0.5849407155949,"1989",0.02,20000,20
"12",1988,4,20,16.6849994659424,57.4099998474121,20,7.5999999,"Saduria entomon",14,5,3627,4,27,"Saduria entomon","3627_1988",-0.5849407155949,"1988",7.5999999,7599999.9,7599.9999
"13",1988,4,20,16.6849994659424,57.4099998474121,50,9.27999973,"Saduria entomon",14,4,3628,4,27,"Saduria entomon","3628_1988",-0.5849407155949,"1988",9.27999973,9279999.73,9279.99973
